Descrição;Cód. Contabil;Fonte;Órgão;Rubrica;Aplicação;Valor Orçado Atualizado;Valor Orçado;Valor Creditado;Valor Debitado;Valor Arrecadado
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"680";"1100000 - GERAL";"50.000,00";"50.000,00";"72.264,66";"0,00";"42.218,63"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"1041";"1100000 - GERAL";"478.000,00";"478.000,00";"732.173,25";"0,00";"265.176,37"
"1 - Tesouro";"4.4.2.4.1.10.00";"1 - TESOURO";"-";"1219";"1100000 - GERAL";"590.000,00";"590.000,00";"962.219,33";"0,00";"374.465,27"
"1 - Tesouro";"4.1.2.2.1.99.00";"1 - TESOURO";"-";"1258";"1100000 - GERAL";"70.000,00";"70.000,00";"119.145,13";"0,00";"76.703,79"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"170";"2000000 - EDUCACAO";"528.750,00";"528.750,00";"2.841.928,56";"21.905,96";"176.999,89"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"677";"3100000 - SAUDE - GERAL";"450.000,00";"450.000,00";"5.266.020,41";"13.721,24";"345.398,46"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"6";"3100000 - SAUDE - GERAL";"1.800.000,00";"1.800.000,00";"15.213.177,63";"8.589,02";"1.175.789,27"
"1 - Tesouro";"4.1.1.2.1.03.01";"1 - TESOURO";"-";"3";"1100000 - GERAL";"53.820.000,00";"53.820.000,00";"163.961.765,16";"13.920,02";"44.614.989,68"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"162";"1100000 - GERAL";"28.200,00";"28.200,00";"64.980,80";"0,00";"14.495,10"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"5";"1100000 - GERAL";"29.722.200,00";"29.722.200,00";"74.218.014,23";"3.216,76";"14.835.598,48"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"153";"2000000 - EDUCACAO";"2.925.000,00";"2.925.000,00";"19.185.083,96";"18.133,82";"1.869.283,65"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"168";"2000000 - EDUCACAO";"1.100.250,00";"1.100.250,00";"6.880.704,97";"860,37";"620.554,72"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"161";"2000000 - EDUCACAO";"4.250.000,00";"4.250.000,00";"24.753.471,96";"6.446,59";"1.940.477,16"
"1 - Tesouro";"4.4.2.4.1.05.00";"1 - TESOURO";"-";"149";"2000000 - EDUCACAO";"525.000,00";"525.000,00";"3.200.933,48";"0,00";"275.568,82"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"1262";"2000000 - EDUCACAO";"185.000,00";"185.000,00";"1.199.836,62";"0,00";"115.120,67"
"1 - Tesouro";"4.5.2.1.4.03.00";"1 - TESOURO";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"133";"3100000 - SAUDE - GERAL";"285.000,00";"285.000,00";"3.949.034,34";"0,00";"307.355,15"
"1 - Tesouro";"4.5.2.1.4.01.00";"1 - TESOURO";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"131";"2000000 - EDUCACAO";"81.250.000,00";"81.250.000,00";"603.938.970,12";"0,00";"69.734.742,53"
"1 - Tesouro";"4.4.2.9.1.00.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1089";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"1083";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"1752";"1100000 - GERAL";"5.000,00";"5.000,00";"5.000,00";"0,00";"0,00"
"1 - Tesouro";"4.4.2.4.1.10.00";"1 - TESOURO";"-";"1583";"1100000 - GERAL";"30.000,00";"30.000,00";"30.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"-";"43";"1000159 - FMT - Fundo Municipal de Transportes (LEI Nº 5.830/2023)";"0,00";"0,00";"1.508,51";"0,00";"5.675,32"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"1525";"1000101 - SECRETARIA DE MOBILIDADE URBANA-SEMOB";"1.400.000,00";"1.400.000,00";"2.718.799,13";"0,00";"1.318.799,13"
"1 - Tesouro";"1.2.1.1.1.05.04";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1933";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.1.2.1.1.11.99";"1 - TESOURO";"-";"1215";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"35";"5000016 - FUNDO MUNIC HABITACAO INTERESSE SOCIAL - FHIS - STN 665";"0,00";"0,00";"5.292,75";"0,00";"12.395,12"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"-";"1994";"1000000 - GERAL TOTAL";"0,00";"0,00";"23.122,82";"0,00";"36.481,09"
"1 - Tesouro";"4.3.3.1.1.99.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1047";"1100000 - GERAL";"2.683.000,00";"2.683.000,00";"4.322.965,73";"10.128,80";"1.655.480,30"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"36";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"0,00";"0,00";"29,52";"0,00";"29,90"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"1963";"1100000 - GERAL";"90.000,00";"90.000,00";"150.005,46";"0,00";"88.292,17"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1904";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"920.000,00";"920.000,00";"1.007.716,95";"0,00";"99.385,92"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"-";"1857";"1100000 - GERAL";"500.000,00";"500.000,00";"734.410,60";"20.081,94";"304.312,04"
"1 - Tesouro";"4.1.2.2.1.99.00";"1 - TESOURO";"-";"1855";"1100000 - GERAL";"0,00";"0,00";"36,22";"0,00";"322,06"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"154";"2000000 - EDUCACAO";"1.036.250,00";"1.036.250,00";"5.864.416,92";"191.968,88";"383.637,81"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"163";"2000000 - EDUCACAO";"958.750,00";"958.750,00";"5.882.164,35";"445,41";"518.092,03"
"1 - Tesouro";"4.4.2.4.1.07.00";"1 - TESOURO";"-";"151";"1100000 - GERAL";"2.028.000,00";"2.028.000,00";"5.624.005,89";"0,00";"1.346.639,47"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"170";"3100000 - SAUDE - GERAL";"317.250,00";"317.250,00";"2.841.928,56";"21.905,96";"106.199,93"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"1263";"1100000 - GERAL";"126.000,00";"126.000,00";"329.311,19";"0,00";"71.783,12"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"678";"3100000 - SAUDE - GERAL";"5.250,00";"5.250,00";"90.268,18";"0,00";"8.347,51"
"1 - Tesouro";"4.1.1.2.1.03.01";"1 - TESOURO";"-";"3";"3100000 - SAUDE - GERAL";"13.455.000,00";"13.455.000,00";"163.961.765,16";"13.920,02";"11.153.747,42"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"174";"2000000 - EDUCACAO";"250,00";"250,00";"1.693,02";"0,00";"350,23"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"1267";"3100000 - SAUDE - GERAL";"10.950,00";"10.950,00";"103.166,04";"0,00";"5.570,69"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"153";"3100000 - SAUDE - GERAL";"1.755.000,00";"1.755.000,00";"19.185.083,96";"18.133,82";"1.121.570,19"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"1";"2000000 - EDUCACAO";"37.896.750,00";"37.896.750,00";"273.404.146,02";"388.647,97";"30.387.111,12"
"1 - Tesouro";"4.5.2.1.4.02.00";"1 - TESOURO";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"132";"3100000 - SAUDE - GERAL";"15.900.000,00";"15.900.000,00";"197.640.152,48";"48.533,19";"13.738.742,90"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1973";"1100000 - GERAL";"20.000,00";"20.000,00";"20.808,17";"0,00";"3.232,68"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"-";"1984";"3000107 - FUND MUN DE PROTEC E BEM-ESTAR ANIMAL-FUBEM";"0,00";"0,00";"925,21";"0,00";"1.059,92"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"1016";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.3.3.1.1.99.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1091";"1100000 - GERAL";"1.000,00";"1.000,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"36";"5000016 - FUNDO MUNIC HABITACAO INTERESSE SOCIAL - FHIS - STN 665";"0,00";"0,00";"29,52";"0,00";"12,82"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"-";"205";"1100000 - GERAL";"0,00";"0,00";"52.698,54";"25.555,09";"27.143,45"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"-";"1913";"1100000 - GERAL";"20.000,00";"20.000,00";"23.333,39";"0,00";"16.670,14"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"-";"182";"3100000 - SAUDE - GERAL";"0,00";"0,00";"587,36";"0,00";"587,36"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"-";"204";"1100000 - GERAL";"0,00";"0,00";"1.182.629,77";"0,00";"1.182.629,77"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1806";"1100000 - GERAL";"10.000,00";"10.000,00";"10.000,00";"0,00";"0,00"
"1 - Tesouro";"4.4.2.9.1.00.00";"1 - TESOURO";"-";"1930";"1100000 - GERAL";"52.000,00";"52.000,00";"65.570,96";"0,00";"15.238,14"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"-";"92";"1000000 - GERAL TOTAL";"0,00";"0,00";"543.863,63";"0,00";"326.318,18"
"1 - Tesouro";"4.3.3.1.1.99.00";"1 - TESOURO";"-";"1418";"1100000 - GERAL";"20.000,00";"20.000,00";"174.533,04";"0,00";"195.041,30"
"1 - Tesouro";"3.5.2.2.4.00.00";"1 - TESOURO";"-";"176";"2000000 - EDUCACAO";"-20.000,00";"-20.000,00";"25.768,05";"20.000,00";"-25.768,05"
"1 - Tesouro";"2.1.8.9.2.01.99";"1 - TESOURO";"21 - SECRETARIA DE PLANEJAMENTO URBANO";"1409";"5000016 - FUNDO MUNIC HABITACAO INTERESSE SOCIAL - FHIS - STN 665";"69.000,00";"69.000,00";"407.267,35";"0,00";"260.276,69"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"19";"4000001 - MULTAS DE TRANSITO";"600.000,00";"600.000,00";"855.951,60";"0,00";"255.951,60"
"1 - Tesouro";"1.2.1.1.1.05.04";"1 - TESOURO";"-";"1906";"1100000 - GERAL";"170.000,00";"170.000,00";"317.680,18";"0,00";"161.130,14"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"154";"1100000 - GERAL";"2.487.000,00";"2.487.000,00";"5.864.416,92";"191.968,88";"920.730,74"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"163";"1100000 - GERAL";"2.301.000,00";"2.301.000,00";"5.882.164,35";"445,41";"1.243.420,87"
"1 - Tesouro";"4.4.2.4.1.07.00";"1 - TESOURO";"-";"151";"2000000 - EDUCACAO";"845.000,00";"845.000,00";"5.624.005,89";"0,00";"561.099,78"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"678";"2000000 - EDUCACAO";"8.750,00";"8.750,00";"90.268,18";"0,00";"13.912,51"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"676";"1100000 - GERAL";"25.200.000,00";"25.200.000,00";"72.985.613,90";"112,56";"18.591.300,80"
"1 - Tesouro";"4.1.1.3.1.02.00";"1 - TESOURO";"-";"6";"2000000 - EDUCACAO";"3.000.000,00";"3.000.000,00";"15.213.177,63";"8.589,02";"1.959.648,78"
"1 - Tesouro";"4.1.1.2.1.03.02";"1 - TESOURO";"-";"4";"3100000 - SAUDE - GERAL";"1.005.000,00";"1.005.000,00";"13.196.122,59";"7.471,68";"1.803.030,58"
"1 - Tesouro";"4.4.2.4.1.16.00";"1 - TESOURO";"-";"605";"2000000 - EDUCACAO";"250,00";"250,00";"2.592,51";"0,00";"827,67"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"1267";"2000000 - EDUCACAO";"18.250,00";"18.250,00";"103.166,04";"0,00";"9.284,49"
"1 - Tesouro";"4.1.1.2.1.04.00";"1 - TESOURO";"-";"5";"2000000 - EDUCACAO";"12.384.250,00";"12.384.250,00";"74.218.014,23";"3.216,76";"6.181.499,37"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"168";"1100000 - GERAL";"2.640.600,00";"2.640.600,00";"6.880.704,97";"860,37";"1.489.331,32"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"168";"3100000 - SAUDE - GERAL";"660.150,00";"660.150,00";"6.880.704,97";"860,37";"372.332,83"
"1 - Tesouro";"4.4.2.4.1.05.00";"1 - TESOURO";"-";"149";"3100000 - SAUDE - GERAL";"315.000,00";"315.000,00";"3.200.933,48";"0,00";"165.341,29"
"1 - Tesouro";"4.1.1.2.1.02.00";"1 - TESOURO";"-";"1";"1100000 - GERAL";"90.952.200,00";"90.952.200,00";"273.404.146,02";"388.647,97";"72.929.066,69"
"1 - Tesouro";"4.4.9.1.1.00.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"955";"1000147 - SEMA - LICENCIAMENTO AMBIENTAL NO ÂMBITO DO MUNICÍPIO DE TAUBATÉ";"4.000,00";"4.000,00";"4.000,00";"0,00";"0,00"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"-";"53";"1000000 - GERAL TOTAL";"0,00";"0,00";"77,82";"0,00";"77,82"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1487";"1000052 - BOLSA DE ESTUDO SIMUBE";"10.000,00";"10.000,00";"10.000,00";"0,00";"0,00"
"1 - Tesouro";"4.4.2.4.1.06.00";"1 - TESOURO";"-";"150";"3100000 - SAUDE - GERAL";"150,00";"150,00";"1.000,00";"0,00";"0,00"
"1 - Tesouro";"4.3.3.1.1.52.00";"1 - TESOURO";"-";"143";"1100000 - GERAL";"0,00";"0,00";"963.845,49";"0,00";"963.845,49"
"1 - Tesouro";"4.9.2.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"833";"1100000 - GERAL";"30.000,00";"30.000,00";"45.975,83";"0,00";"15.975,83"
"1 - Tesouro";"4.9.9.6.1.02.00";"1 - TESOURO";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"1753";"1100000 - GERAL";"0,00";"0,00";"960,63";"0,00";"960,63"
"1 - Tesouro";"2.1.8.9.2.01.99";"1 - TESOURO";"21 - SECRETARIA DE PLANEJAMENTO URBANO";"1409";"1000070 - FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO";"161.000,00";"161.000,00";"407.267,35";"0,00";"607.312,29"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"1767";"1000032 - FUNDO MUN GEST REC ADV DA PS AG E ESG SAN TTE";"0,00";"0,00";"132.502,93";"0,00";"132.502,93"
"1 - Tesouro";"4.4.5.2.1.00.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"8";"1000035 - FUNDO MUNICIPAL DE ILUMINACAO PUBLICA - FUNDIP";"200.000,00";"200.000,00";"379.082,53";"16.119,71";"162.962,82"
"1 - Tesouro";"4.3.3.1.1.02.00";"1 - TESOURO";"27 - SECRETARIA DE SERVICOS PUBLICOS";"683";"1100000 - GERAL";"2.000,00";"2.000,00";"14.535,44";"0,00";"13.800,84"
"1 - Tesouro";"4.9.9.6.1.01.00";"1 - TESOURO";"-";"51";"1000000 - GERAL TOTAL";"0,00";"0,00";"40.554,53";"0,00";"43.713,66"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"-";"92";"2000000 - EDUCACAO";"0,00";"0,00";"543.863,63";"0,00";"135.965,91"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"-";"92";"3100000 - SAUDE - GERAL";"0,00";"0,00";"543.863,63";"0,00";"81.579,54"
"1 - Tesouro";"4.5.2.1.3.03.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"91";"1100000 - GERAL";"60.000,00";"60.000,00";"228.840,81";"0,00";"77.304,49"
"1 - Tesouro";"4.5.2.1.3.02.00";"1 - TESOURO";"29 - SECRETARIA DE EDUCACAO";"90";"3100000 - SAUDE - GERAL";"19.200.000,00";"19.200.000,00";"240.175.679,21";"0,00";"16.826.351,88"
"1 - Tesouro";"4.3.3.1.1.99.00";"1 - TESOURO";"-";"89";"1100000 - GERAL";"1.847.000,00";"1.847.000,00";"4.920.042,15";"141,26";"3.177.973,98"
